epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,93.8298,0.58817,0.94444,1,0.413,0.00018564,0.00018564,0.00018564
2,190.329,0.19367,0.96667,1,0.34493,0.000374674,0.000374674,0.000374674
3,286.308,0.19779,0.98889,1,0.33911,0.00055989,0.00055989,0.00055989
4,380.909,0.16415,0.98889,1,0.3304,0.000692794,0.000692794,0.000692794
5,479.638,0.14233,0.96667,1,0.37289,0.000685726,0.000685726,0.000685726
6,582.859,0.10376,0.97778,1,0.3468,0.000678657,0.000678657,0.000678657
7,673.769,0.08498,1,1,0.32694,0.000671588,0.000671588,0.000671588
8,761.992,0.1773,0.88889,1,0.42992,0.00066452,0.00066452,0.00066452
9,849.831,0.09987,0.95556,1,0.35862,0.000657451,0.000657451,0.000657451
10,938.226,0.1167,0.93333,1,0.36708,0.000650383,0.000650383,0.000650383
11,1025.88,0.08071,0.96667,1,0.35427,0.000643314,0.000643314,0.000643314
12,1114.04,0.08944,0.95556,1,0.35327,0.000636245,0.000636245,0.000636245
13,1203.87,0.06764,0.95556,1,0.36003,0.000629177,0.000629177,0.000629177
14,1290.15,0.04851,1,1,0.31691,0.000622108,0.000622108,0.000622108
15,1376.35,0.05471,1,1,0.32563,0.00061504,0.00061504,0.00061504
16,1462.86,0.04279,0.95556,1,0.34857,0.000607971,0.000607971,0.000607971
17,1549.57,0.05645,0.96667,1,0.3416,0.000600902,0.000600902,0.000600902
18,1635.81,0.09119,0.97778,1,0.33034,0.000593834,0.000593834,0.000593834
19,1722.21,0.08063,0.96667,1,0.33246,0.000586765,0.000586765,0.000586765
20,1808.49,0.03381,0.94444,1,0.36076,0.000579697,0.000579697,0.000579697
21,1895.22,0.11573,0.94444,1,0.34804,0.000572628,0.000572628,0.000572628
22,1981.28,0.09372,1,1,0.32387,0.000565559,0.000565559,0.000565559
23,2067.77,0.0641,0.98889,1,0.32934,0.000558491,0.000558491,0.000558491
24,2154.43,0.04765,0.97778,1,0.34607,0.000551422,0.000551422,0.000551422
25,2239.86,0.02944,0.95556,1,0.3612,0.000544354,0.000544354,0.000544354
26,2327.2,0.03165,0.95556,1,0.35409,0.000537285,0.000537285,0.000537285
27,2413.74,0.0263,0.93333,1,0.36873,0.000530216,0.000530216,0.000530216
28,2499.78,0.11608,0.96667,1,0.36154,0.000523148,0.000523148,0.000523148
29,2585.79,0.01911,0.88889,1,0.39206,0.000516079,0.000516079,0.000516079
30,2678.74,0.03654,0.95556,1,0.34544,0.000509011,0.000509011,0.000509011
31,2767.15,0.03537,0.86667,1,0.42707,0.000501942,0.000501942,0.000501942
32,2851.46,0.02401,0.95556,1,0.35622,0.000494873,0.000494873,0.000494873
33,2934.55,0.03708,0.95556,1,0.34703,0.000487805,0.000487805,0.000487805
34,3017.23,0.02001,0.93333,1,0.36541,0.000480736,0.000480736,0.000480736
35,3099.41,0.01576,0.95556,1,0.35144,0.000473668,0.000473668,0.000473668
36,3182.39,0.0482,0.95556,1,0.34932,0.000466599,0.000466599,0.000466599
37,3264.76,0.01977,0.91111,1,0.38555,0.00045953,0.00045953,0.00045953
38,3347.53,0.03141,0.91111,1,0.39271,0.000452462,0.000452462,0.000452462
39,3430.76,0.05917,0.91111,1,0.39008,0.000445393,0.000445393,0.000445393
40,3514.2,0.01575,0.93333,1,0.35834,0.000438325,0.000438325,0.000438325
41,3597.89,0.06104,0.92222,1,0.37285,0.000431256,0.000431256,0.000431256
42,3680.68,0.1325,0.94444,1,0.37808,0.000424187,0.000424187,0.000424187
43,3763.72,0.01864,0.96667,1,0.33996,0.000417119,0.000417119,0.000417119
44,3846.62,0.01197,0.94444,1,0.36782,0.00041005,0.00041005,0.00041005
45,3929.9,0.01497,0.94444,1,0.35619,0.000402982,0.000402982,0.000402982
46,4012.69,0.00936,0.95556,1,0.35106,0.000395913,0.000395913,0.000395913
47,4095.25,0.18514,0.93333,1,0.37011,0.000388844,0.000388844,0.000388844
48,4177.25,0.02884,0.95556,1,0.36522,0.000381776,0.000381776,0.000381776
49,4259.59,0.03277,0.94444,1,0.36027,0.000374707,0.000374707,0.000374707
50,4341.82,0.02447,0.94444,1,0.36187,0.000367639,0.000367639,0.000367639
51,4424.39,0.01446,0.93333,1,0.37213,0.00036057,0.00036057,0.00036057
52,4507.34,0.02346,0.93333,1,0.38115,0.000353501,0.000353501,0.000353501
53,4589.91,0.0347,0.93333,1,0.3596,0.000346433,0.000346433,0.000346433
54,4672.09,0.03513,0.92222,1,0.37709,0.000339364,0.000339364,0.000339364
55,4754.98,0.02573,0.94444,1,0.35723,0.000332296,0.000332296,0.000332296
56,4838.07,0.01043,0.95556,1,0.35193,0.000325227,0.000325227,0.000325227
57,4920.12,0.01522,0.96667,1,0.35077,0.000318158,0.000318158,0.000318158
58,5005.19,0.01196,0.95556,1,0.35819,0.00031109,0.00031109,0.00031109
59,5087.49,0.02143,0.93333,1,0.37116,0.000304021,0.000304021,0.000304021
60,5169.45,0.00828,0.93333,1,0.37418,0.000296953,0.000296953,0.000296953
61,5252.12,0.02097,0.93333,1,0.3635,0.000289884,0.000289884,0.000289884
62,5335.25,0.01174,0.95556,1,0.34919,0.000282815,0.000282815,0.000282815
63,5420.12,0.01178,0.95556,1,0.35824,0.000275747,0.000275747,0.000275747
64,5508.08,0.01294,0.91111,1,0.38146,0.000268678,0.000268678,0.000268678
65,5596.53,0.00677,0.91111,1,0.38836,0.00026161,0.00026161,0.00026161
66,5684.22,0.13195,0.92222,1,0.37952,0.000254541,0.000254541,0.000254541
67,5768.86,0.00492,0.9,1,0.38956,0.000247472,0.000247472,0.000247472
68,5851.07,0.01247,0.92222,1,0.37392,0.000240404,0.000240404,0.000240404
69,5933.81,0.01509,0.94444,1,0.35468,0.000233335,0.000233335,0.000233335
70,6019.45,0.00496,0.93333,1,0.37796,0.000226267,0.000226267,0.000226267
71,6107.75,0.00812,0.93333,1,0.37709,0.000219198,0.000219198,0.000219198
72,6196,0.01249,0.92222,1,0.38328,0.000212129,0.000212129,0.000212129
73,6284.36,0.08976,0.92222,1,0.37537,0.000205061,0.000205061,0.000205061
74,6366.67,0.00632,0.92222,1,0.38893,0.000197992,0.000197992,0.000197992
75,6449.52,0.00771,0.91111,1,0.39511,0.000190924,0.000190924,0.000190924
76,6532,0.00629,0.91111,1,0.39185,0.000183855,0.000183855,0.000183855
77,6614.38,0.01636,0.91111,1,0.38543,0.000176786,0.000176786,0.000176786
78,6696.53,0.00254,0.91111,1,0.38453,0.000169718,0.000169718,0.000169718
79,6780.15,0.00525,0.92222,1,0.37951,0.000162649,0.000162649,0.000162649
80,6863.21,0.00604,0.91111,1,0.3805,0.000155581,0.000155581,0.000155581
81,6945.41,0.02147,0.92222,1,0.37905,0.000148512,0.000148512,0.000148512
82,7027.86,0.02237,0.92222,1,0.37427,0.000141443,0.000141443,0.000141443
83,7109.9,0.01355,0.91111,1,0.37975,0.000134375,0.000134375,0.000134375
84,7192.34,0.01054,0.94444,1,0.3669,0.000127306,0.000127306,0.000127306
85,7274.29,0.00295,0.95556,1,0.35622,0.000120238,0.000120238,0.000120238
86,7356.47,0.04811,0.96667,1,0.35341,0.000113169,0.000113169,0.000113169
87,7439.01,0.00801,0.96667,1,0.35522,0.0001061,0.0001061,0.0001061
88,7522.17,0.0041,0.95556,1,0.36522,9.90318e-05,9.90318e-05,9.90318e-05
89,7603.75,0.00886,0.94444,1,0.36817,9.19632e-05,9.19632e-05,9.19632e-05
90,7686.2,0.01406,0.94444,1,0.36205,8.48946e-05,8.48946e-05,8.48946e-05
91,7769.22,0.00532,0.93333,1,0.37472,7.7826e-05,7.7826e-05,7.7826e-05
92,7851.23,0.00641,0.94444,1,0.36581,7.07574e-05,7.07574e-05,7.07574e-05
93,7933.22,0.00402,0.93333,1,0.36906,6.36888e-05,6.36888e-05,6.36888e-05
94,8014.37,0.11717,0.94444,1,0.36305,5.66202e-05,5.66202e-05,5.66202e-05
95,8097.05,0.00715,0.95556,1,0.36165,4.95516e-05,4.95516e-05,4.95516e-05
96,8185.27,0.00128,0.95556,1,0.36048,4.2483e-05,4.2483e-05,4.2483e-05
97,8272.85,0.00452,0.95556,1,0.36046,3.54144e-05,3.54144e-05,3.54144e-05
98,8360.3,0.00244,0.95556,1,0.36424,2.83458e-05,2.83458e-05,2.83458e-05
99,8445.32,0.00717,0.94444,1,0.36163,2.12772e-05,2.12772e-05,2.12772e-05
100,8527.83,0.00337,0.95556,1,0.36392,1.42086e-05,1.42086e-05,1.42086e-05
